Name,Hold Effect,Effect Param,Natural Gift Power,Natural Gift Type,Fling Power,Fling Effect
Adamant Orb,HOLD_EFFECT_DIALGA_BOOST,20,0,,60,FLING_EFFECT_NONE
Aguav Berry,HOLD_EFFECT_HP_RESTORE_BITTER,8,60,Dragon,10,FLING_EFFECT_HP_RESTORE_BITTER
Air Mail,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
Amulet Coin,HOLD_EFFECT_MONEY_UP,10,0,,30,FLING_EFFECT_NONE
Antidote,HOLD_EFFECT_NONE,0,0,,30,FLING_EFFECT_NONE
Apicot Berry,HOLD_EFFECT_PINCH_SPDEF_UP,4,80,Ground,10,FLING_EFFECT_SPDEF_UP
Armor Fossil,HOLD_EFFECT_NONE,0,0,,100,FLING_EFFECT_NONE
Aspear Berry,HOLD_EFFECT_FRZ_RESTORE,0,60,Ice,10,FLING_EFFECT_FRZ_RESTORE
Awakening,HOLD_EFFECT_NONE,0,0,,30,FLING_EFFECT_NONE
Azure Flute,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
Babiri Berry,HOLD_EFFECT_WEAKEN_SE_STEEL,0,60,Steel,10,FLING_EFFECT_NONE
Belue Berry,HOLD_EFFECT_NONE,0,80,Electric,10,FLING_EFFECT_NONE
Berry Juice,HOLD_EFFECT_HP_RESTORE,20,0,,30,FLING_EFFECT_NONE
Bicycle,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
Big Mushroom,HOLD_EFFECT_NONE,0,0,,30,FLING_EFFECT_NONE
Big Pearl,HOLD_EFFECT_NONE,0,0,,30,FLING_EFFECT_NONE
Big Root,HOLD_EFFECT_LEECH_BOOST,30,0,,10,FLING_EFFECT_NONE
Black Belt,HOLD_EFFECT_STRENGTHEN_FIGHT,20,0,,30,FLING_EFFECT_NONE
Black Flute,HOLD_EFFECT_NONE,50,0,,30,FLING_EFFECT_NONE
Black Sludge,HOLD_EFFECT_HP_RESTORE_PSN_TYPE,16,0,,30,FLING_EFFECT_NONE
BlackGlasses,HOLD_EFFECT_STRENGTHEN_DARK,20,0,,30,FLING_EFFECT_NONE
Bloom Mail,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
Blue Flute,HOLD_EFFECT_NONE,0,0,,30,FLING_EFFECT_NONE
Blue Scarf,HOLD_EFFECT_NONE,0,0,,10,FLING_EFFECT_NONE
Blue Shard,HOLD_EFFECT_NONE,0,0,,30,FLING_EFFECT_NONE
Bluk Berry,HOLD_EFFECT_NONE,0,70,Fire,10,FLING_EFFECT_NONE
Brick Mail,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
BrightPowder,HOLD_EFFECT_ACC_REDUCE,10,0,,10,FLING_EFFECT_NONE
Bubble Mail,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
Burn Heal,HOLD_EFFECT_NONE,0,0,,30,FLING_EFFECT_NONE
Calcium,HOLD_EFFECT_NONE,0,0,,30,FLING_EFFECT_NONE
Carbos,HOLD_EFFECT_NONE,0,0,,30,FLING_EFFECT_NONE
Charcoal,HOLD_EFFECT_STRENGTHEN_FIRE,20,0,,30,FLING_EFFECT_NONE
Charti Berry,HOLD_EFFECT_WEAKEN_SE_ROCK,0,60,Rock,10,FLING_EFFECT_NONE
Cheri Berry,HOLD_EFFECT_PRZ_RESTORE,0,60,Fire,10,FLING_EFFECT_PRZ_RESTORE
Cherish Ball,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
Chesto Berry,HOLD_EFFECT_SLP_RESTORE,0,60,Water,10,FLING_EFFECT_SLP_RESTORE
Chilan Berry,HOLD_EFFECT_WEAKEN_NORMAL,0,60,Normal,10,FLING_EFFECT_NONE
Choice Band,HOLD_EFFECT_CHOICE_ATK,0,0,,10,FLING_EFFECT_NONE
Choice Scarf,HOLD_EFFECT_CHOICE_SPEED,0,0,,10,FLING_EFFECT_NONE
Choice Specs,HOLD_EFFECT_CHOICE_SPATK,0,0,,10,FLING_EFFECT_NONE
Chople Berry,HOLD_EFFECT_WEAKEN_SE_FIGHT,0,60,Fighting,10,FLING_EFFECT_NONE
Claw Fossil,HOLD_EFFECT_NONE,0,0,,100,FLING_EFFECT_NONE
Cleanse Tag,HOLD_EFFECT_ENCOUNTERS_DOWN,0,0,,30,FLING_EFFECT_NONE
Coba Berry,HOLD_EFFECT_WEAKEN_SE_FLYING,0,60,Flying,10,FLING_EFFECT_NONE
Coin Case,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
Colbur Berry,HOLD_EFFECT_WEAKEN_SE_DARK,0,60,Dark,10,FLING_EFFECT_NONE
Contest Pass,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
Cornn Berry,HOLD_EFFECT_NONE,0,70,Bug,10,FLING_EFFECT_NONE
Coupon 1,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
Coupon 2,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
Coupon 3,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
Custap Berry,HOLD_EFFECT_PINCH_PRIORITY,4,80,Ghost,10,FLING_EFFECT_NONE
Damp Mulch,HOLD_EFFECT_NONE,0,0,,30,FLING_EFFECT_NONE
Damp Rock,HOLD_EFFECT_EXTEND_RAIN,3,0,,60,FLING_EFFECT_NONE
Dawn Stone,HOLD_EFFECT_NONE,0,0,,80,FLING_EFFECT_NONE
DeepSeaScale,HOLD_EFFECT_CLAMPERL_SPDEF,0,0,,30,FLING_EFFECT_NONE
DeepSeaTooth,HOLD_EFFECT_CLAMPERL_SPATK,0,0,,90,FLING_EFFECT_NONE
Destiny Knot,HOLD_EFFECT_RECIPROCATE_INFAT,0,0,,10,FLING_EFFECT_NONE
Dire Hit,HOLD_EFFECT_NONE,0,0,,30,FLING_EFFECT_NONE
Dive Ball,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
Dome Fossil,HOLD_EFFECT_NONE,0,0,,100,FLING_EFFECT_NONE
Draco Plate,HOLD_EFFECT_ARCEUS_DRAGON,20,0,,90,FLING_EFFECT_NONE
Dragon Fang,HOLD_EFFECT_STRENGTHEN_DRAGON,20,0,,70,FLING_EFFECT_NONE
Dragon Scale,HOLD_EFFECT_EVOLVE_SEADRA,10,0,,30,FLING_EFFECT_NONE
Dread Plate,HOLD_EFFECT_ARCEUS_DARK,20,0,,90,FLING_EFFECT_NONE
Dubious Disc,HOLD_EFFECT_EVOLVE_PORYGON2,0,0,,50,FLING_EFFECT_NONE
Durin Berry,HOLD_EFFECT_NONE,0,80,Water,10,FLING_EFFECT_NONE
Dusk Ball,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
Dusk Stone,HOLD_EFFECT_NONE,0,0,,80,FLING_EFFECT_NONE
Earth Plate,HOLD_EFFECT_ARCEUS_GROUND,20,0,,90,FLING_EFFECT_NONE
Electirizer,HOLD_EFFECT_EVOLVE_ELECTABUZZ,0,0,,80,FLING_EFFECT_NONE
Elixir,HOLD_EFFECT_NONE,10,0,,30,FLING_EFFECT_NONE
Energy Root,HOLD_EFFECT_NONE,0,0,,30,FLING_EFFECT_NONE
EnergyPowder,HOLD_EFFECT_NONE,0,0,,30,FLING_EFFECT_NONE
Enigma Berry,HOLD_EFFECT_HP_RESTORE_SE,4,80,Bug,10,FLING_EFFECT_NONE
Escape Rope,HOLD_EFFECT_NONE,0,0,,30,FLING_EFFECT_NONE
Ether,HOLD_EFFECT_NONE,10,0,,30,FLING_EFFECT_NONE
Everstone,HOLD_EFFECT_NO_EVOLVE,0,0,,30,FLING_EFFECT_NONE
Exp. Share,HOLD_EFFECT_EXP_SHARE,0,0,,30,FLING_EFFECT_NONE
Expert Belt,HOLD_EFFECT_POWER_UP_SE,20,0,,10,FLING_EFFECT_NONE
Explorer Kit,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
Fashion Case,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
Figy Berry,HOLD_EFFECT_HP_RESTORE_SPICY,8,60,Bug,10,FLING_EFFECT_HP_RESTORE_SPICY
Fire Stone,HOLD_EFFECT_NONE,0,0,,30,FLING_EFFECT_NONE
Fist Plate,HOLD_EFFECT_ARCEUS_FIGHTING,20,0,,90,FLING_EFFECT_NONE
Flame Mail,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
Flame Orb,HOLD_EFFECT_BRN_USER,0,0,,30,FLING_EFFECT_BURN
Flame Plate,HOLD_EFFECT_ARCEUS_FIRE,20,0,,90,FLING_EFFECT_NONE
Fluffy Tail,HOLD_EFFECT_NONE,0,0,,30,FLING_EFFECT_NONE
Focus Band,HOLD_EFFECT_MAYBE_ENDURE,10,0,,10,FLING_EFFECT_NONE
Focus Sash,HOLD_EFFECT_ENDURE,0,0,,10,FLING_EFFECT_NONE
Fresh Water,HOLD_EFFECT_NONE,50,0,,30,FLING_EFFECT_NONE
Full Heal,HOLD_EFFECT_NONE,0,0,,30,FLING_EFFECT_NONE
Full Incense,HOLD_EFFECT_PRIORITY_DOWN,0,0,,10,FLING_EFFECT_NONE
Full Restore,HOLD_EFFECT_NONE,255,0,,30,FLING_EFFECT_NONE
Galactic Key,HOLD_EFFECT_NONE,0,0,,0,FLING_EFFECT_NONE
Ganlon Berry,HOLD_EFFECT_PINCH_DEF_UP,4,80,Ice,10,FLING_EFFECT_DEF_UP
