Name,Effect,Chance
Absorb,BATTLE_EFFECT_RECOVER_HALF_DAMAGE_DEALT,0
Acid,BATTLE_EFFECT_LOWER_SP_DEF_HIT,10
Acid Armor,BATTLE_EFFECT_DEF_UP_2,0
Acupressure,BATTLE_EFFECT_RANDOM_STAT_UP_2,0
Aerial Ace,BATTLE_EFFECT_BYPASS_ACCURACY,0
Aeroblast,BATTLE_EFFECT_TRI_ATTACK,30
Agility,BATTLE_EFFECT_SPEED_UP_2,0
Air Cutter,BATTLE_EFFECT_HIGH_CRITICAL,0
Air Slash,BATTLE_EFFECT_FLINCH_HIT,30
Amnesia,BATTLE_EFFECT_SP_DEF_UP_2,0
AncientPower,BATTLE_EFFECT_RAISE_ALL_STATS_HIT,10
Aqua Cutter,BATTLE_EFFECT_HIGH_CRITICAL,0
Aqua Jet,BATTLE_EFFECT_PRIORITY_1,0
Aqua Ring,BATTLE_EFFECT_RESTORE_HP_EVERY_TURN,0
Aqua Tail,BATTLE_EFFECT_HIT,0
Aromatherapy,BATTLE_EFFECT_CURE_PARTY_STATUS,0
Assist,BATTLE_EFFECT_USE_RANDOM_ALLY_MOVE,0
Assurance,BATTLE_EFFECT_DOUBLE_POWER_IF_TARGET_HIT,0
Astonish,BATTLE_EFFECT_FLINCH_HIT,30
Attack Order,BATTLE_EFFECT_POISON_HIT,30
Attract,BATTLE_EFFECT_INFATUATE,0
Aura Sphere,BATTLE_EFFECT_BYPASS_ACCURACY,0
Aurora Beam,BATTLE_EFFECT_BYPASS_ACCURACY,0
Avalanche,BATTLE_EFFECT_FLINCH_FREEZE_HIT,20
Barrier,BATTLE_EFFECT_DEF_UP_2,0
Baton Pass,BATTLE_EFFECT_PASS_STATS_AND_STATUS,0
Beat Up,BATTLE_EFFECT_BEAT_UP,0
Belly Drum,BATTLE_EFFECT_MAX_ATK_LOSE_HALF_MAX_HP,0
Bide,BATTLE_EFFECT_METAL_BURST,0
Bite,BATTLE_EFFECT_FLINCH_HIT,30
Blast Burn,BATTLE_EFFECT_RECOIL_BURN_HIT,30
Blaze Kick,BATTLE_EFFECT_HIGH_CRITICAL_BURN_HIT,20
Blizzard,BATTLE_EFFECT_BLIZZARD,20
Block,BATTLE_EFFECT_PREVENT_ESCAPE,0
Body Slam,BATTLE_EFFECT_PARALYZE_HIT,30
Bone Club,BATTLE_EFFECT_FLINCH_HIT,10
Bone Rush,BATTLE_EFFECT_MULTI_HIT,0
Bonemerang,BATTLE_EFFECT_HIT_TWICE,0
Bounce,BATTLE_EFFECT_PARALYZE_HIT,30
Brave Bird,BATTLE_EFFECT_LOWER_OWN_ATK_AND_DEF,0
