ID Number,Name,Additional Effect,Category,Power,Type,Accuracy,PP,Additional Effect Chance (%),Target(s),Priority,Contact Move,Blocked by Protect,Reflected by Magic Coat,Affected by Snatch,Affected by Mirror Move,Triggers Kings Rock,Hide HP Bars,Remove Target's Shadow,Contest Effect,Contest Type
0,-,None,Physical,0,Normal,0,0,0,One opponent,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0
1,Pound,None,Physical,40,Normal,100,35,0,One opponent,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,5,4
2,Karate Chop,High crit ratio,Physical,50,Fighting,100,25,0,One opponent,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,5,4
3,DoubleSlap,Hits twice,Physical,30,Normal,90,10,0,One opponent,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,7,4
4,Water Ball,None,Special,100,Water,100,15,0,One opponent,0,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,7,4
5,Mega Punch,None,Physical,80,Normal,85,20,0,One opponent,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,18,4
6,Pay Day,Pay Day effect,Physical,40,Normal,100,20,0,One opponent,0,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,23,3
7,Fire Punch,Chance to Burn,Physical,95,Fire,100,15,10,One opponent,0,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,17,1
8,Ice Punch,Chance to Freeze,Physical,95,Ice,100,15,10,One opponent,0,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,17,1
9,ThunderPunch,Chance to Paralyze,Physical,95,Electric,100,15,10,One opponent,0,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,17,0
10,Scratch,None,Physical,40,Normal,100,35,0,One opponent,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,5,4
11,ViceGrip,Whirlpool effect,Physical,90,Water,100,30,0,One opponent,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,5,4
12,Guillotine,OHKO,Physical,1,Normal,30,8,0,One opponent,0,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,9,0
13,Razor Wind,Charging turn; high crit ratio,Special,80,Normal,100,10,0,Both opponents,0,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,6,0
14,Swords Dance,Sharply raises Atk (Status),Status,0,Normal,0,30,0,User,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,11,1
15,Cut,None,Physical,50,Normal,100,30,0,One opponent,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,5,0
