Name,HP,Atk,Def,SpA,SpD,Spe,Type1,Type2,Ability1,Ability2,WeightHg,FemaleThreshold,ExpRate
Abomasnow,90,92,75,92,85,60,Grass,Ice,Snow Warning,Adaptability,1355,127,SLOW
Abra,25,20,15,105,55,90,Psychic,,Magic Guard,Magic Guard,195,63,MEDIUM_SLOW
Absol,70,130,60,115,60,95,Dark,,Super Luck,Super Luck,470,127,MEDIUM_SLOW
Aerodactyl,80,105,65,60,75,130,Rock,Flying,Rock Head,Rock Head,590,31,SLOW
Aggron,70,110,180,60,60,50,Steel,Rock,Rock Head,Rock Head,3600,127,SLOW
Aipom,55,70,55,40,55,85,Normal,,Technician,Technician,115,127,FAST
Alakazam,55,50,45,135,85,120,Psychic,,Magic Guard,Inner Focus,480,63,MEDIUM_SLOW
Altaria,75,80,90,80,105,80,Dragon,Flying,Serene Grace,,206,127,ERRATIC
Ambipom,75,100,66,60,66,115,Normal,,Technician,Technician,203,127,FAST
Ampharos,90,75,75,125,90,55,Electric,,No Guard,,615,127,MEDIUM_SLOW
Anorith,45,95,50,40,50,75,Rock,Bug,Swift Swim,Battle Armor,125,31,ERRATIC
Arbok,60,95,69,65,79,80,Poison,,Intimidate,Intimidate,650,127,MEDIUM_FAST
Arcanine,90,110,80,100,80,95,Fire,,Intimidate,Intimidate,1550,63,SLOW
Arceus,120,120,120,120,120,120,Normal,,Multitype,,3200,255,SLOW
Ariados,70,95,80,60,80,70,Bug,Poison,Intimidate,Insomnia,335,127,FAST
Armaldo,75,125,100,70,80,45,Rock,Bug,Swift Swim,Battle Armor,682,31,ERRATIC
Aron,50,70,120,40,40,30,Steel,Rock,Rock Head,Rock Head,600,127,SLOW
Articuno,90,85,100,125,115,85,Ice,Flying,Snow Cloak,Snow Warning,554,255,SLOW
Azelf,75,135,70,135,70,115,Psychic,,Levitate,,3,255,SLOW
Azumarill,100,60,80,50,80,50,Water,,Huge Power,Huge Power,285,127,FAST
Azurill,50,30,40,20,40,20,Normal,,Huge Power,Huge Power,20,191,FAST
Bagon,45,75,60,40,30,50,Dragon,,Rock Head,Rock Head,421,127,SLOW
Baltoy,40,40,55,40,70,55,Ground,Psychic,Levitate,,215,255,MEDIUM_FAST
Banette,64,125,65,83,63,85,Ghost,,Clear Body,Insomnia,125,127,FAST
Barboach,50,48,43,46,41,60,Water,Ground,Swift Swim,Swift Swim,19,127,MEDIUM_FAST
Bastiodon,80,92,168,7,138,30,Rock,Steel,Solid Rock,Battle Armor,1495,31,ERRATIC
Bayleef,60,62,80,63,80,60,Grass,,Overgrow,,158,31,MEDIUM_SLOW
Beautifly,60,70,50,100,50,65,Bug,Flying,Tinted Lens,Shield Dust,284,127,MEDIUM_FAST
Beedrill,65,90,40,45,80,75,Bug,Poison,Swarm,,295,127,MEDIUM_FAST
Beldum,40,55,80,35,60,30,Steel,Psychic,Clear Body,,952,255,SLOW
Bellossom,75,80,85,100,100,50,Grass,,Chlorophyll,,58,127,MEDIUM_SLOW
Bellsprout,50,75,35,70,30,40,Grass,Poison,Chlorophyll,,40,127,MEDIUM_SLOW
Bibarel,79,85,60,55,60,71,Normal,Water,Simple,Unaware,315,127,MEDIUM_FAST
Bidoof,59,45,40,35,40,31,Normal,,Simple,Unaware,200,127,MEDIUM_FAST
Blastoise,79,81,100,110,105,60,Water,,Torrent,Shell Armor,855,31,MEDIUM_SLOW
Blaziken,80,120,70,115,70,80,Fire,Fighting,Blaze,,520,31,MEDIUM_SLOW
Blissey,255,5,30,75,135,55,Normal,,Serene Grace,Serene Grace,468,254,FAST
Bonsly,50,80,95,10,45,10,Rock,,Rock Head,Rock Head,150,127,MEDIUM_FAST
Breloom,60,130,80,60,60,70,Grass,Fighting,Technician,Technician,392,127,FLUCTUATING
Bronzong,77,99,116,89,116,33,Steel,Psychic,Drizzle,Levitate,1870,255,MEDIUM_FAST
Bronzor,77,99,116,89,116,33,Steel,Psychic,Levitate,Levitate,605,255,MEDIUM_FAST
Budew,40,30,35,50,70,55,Grass,Poison,Natural Cure,Natural Cure,12,127,MEDIUM_SLOW
Buizel,55,65,35,60,30,85,Water,,Swift Swim,,295,127,MEDIUM_FAST
Bulbasaur,45,49,49,65,65,45,Grass,Poison,Overgrow,Overgrow,69,31,MEDIUM_SLOW
Buneary,55,66,44,44,56,85,Normal,,Scrappy,Scrappy,55,127,MEDIUM_FAST
Burmy,40,29,45,29,45,36,Bug,,Snow Cloak,,34,127,MEDIUM_FAST
Butterfree,60,45,50,90,80,70,Bug,Flying,Compound Eyes,,320,127,MEDIUM_FAST
Cacnea,50,85,60,85,60,35,Grass,,Sand Veil,,513,127,MEDIUM_SLOW
Cacturne,70,115,85,115,85,55,Grass,Dark,Sand Veil,,774,127,MEDIUM_SLOW
